"MLS#","PROPERTY TYPE","ADDRESS","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","HOA/MONTH","STATUS","LATITUDE","LONGITUDE"
72944501,"Multi-Family (2-4 Unit)","295 Main St",1151,299000,4,2,"Springfield",1440,9932,1900,1,,"Active",42.158597,-72.4963798
72944485,"Multi-Family (2-4 Unit)","192-194 Westford Ave",1108,250000,6,3,"Hill McKnight",3306,5750,1910,1,,"Active",42.1065112,-72.5585518
72944454,"Multi-Family (5+ Unit)","196-198 Bowdoin St",1109,1200000,32,12,"Hill McKnight",11984,13382,1922,1,,"Active",42.1157584,-72.578395
72944425,"Single Family Residential","711 Bradley Rd",1109,199000,3,1,"Sixteen Acres",864,21601,1955,1,,"Active",42.1108274,-72.5212453
72944397,"Single Family Residential","457 Plumtree Rd",1118,259900,4,2,"Springfield",1488,7910,1947,2,,"Active",42.0979349,-72.5310892
72944314,"Single Family Residential","180 Blanche",1129,289900,3,2,"Sixteen Acres",1370,13164,1958,2,,"Active",42.127454,-72.5003547
72944285,"Multi-Family (2-4 Unit)","1179-1181 Carew St",1104,285000,6,2,"Springfield",2500,6490,1925,2,,"Active",42.1324644,-72.5730585
72944190,"Single Family Residential","73 Tyler St",1109,179900,4,1.5,"Springfield",1329,3106,1921,2,,"Active",42.1062268,-72.5706921
72944174,"Multi-Family (2-4 Unit)","16 Nelson Ave",1109,295999,6,2,"Springfield",2966,6094,1910,2,,"Active",42.1045591,-72.5662561
72943041,"Single Family Residential","150 Ashbrook St",1118,239900,2,1,"Springfield",820,7118,1946,2,,"Active",42.1006185,-72.5374605
72944004,"Single Family Residential","64 Thompson St",1109,189900,5,2,"Springfield",1892,4948,1907,3,,"Active",42.1118062,-72.5706459
72943981,"Vacant Land","0 Seymour",1109,74999,,,"Pine Point Boston Road",,10955,,3,,"Active",42.123661,-72.528651
72943971,"Single Family Residential","111 Huron St",1104,219987,2,1,"East Springfield",768,5249,1960,3,,"Active",42.1286074,-72.5889434
72943936,"Single Family Residential","46 Pearson Dr",1119,350000,3,1.5,"Springfield",2030,10681,2005,3,,"Active",42.1260399,-72.5207369
72943744,"Single Family Residential","71 Dorset",1108,234900,3,2,"Springfield",1174,5001,1924,3,,"Active",42.0873446,-72.542735
72943618,"Single Family Residential","154 Packard Ave",1118,254900,4,2,"Springfield",1342,8725,1957,4,,"Active",42.0971139,-72.5251275
72943580,"Single Family Residential","27 Overlook Dr",1118,280000,4,1.5,"East Forest Park",1176,20438,1957,4,,"Contingent",42.1034025,-72.5451843
72943510,"Multi-Family (2-4 Unit)","1261-1263 Carew St",1104,289900,6,2,"Liberty Heights",2474,5432,1925,4,,"Contingent",42.1338543,-72.5706369
72942135,"Single Family Residential","170 Berkshire St",1151,325000,6,2.5,"Indian Orchard",3048,15525,1916,4,,"Active",42.1568794,-72.5026195
72943402,"Single Family Residential","114 Appleton St",1108,215000,3,2,"Springfield",1302,5001,1938,4,,"Active",42.0769297,-72.5519312
72943377,"Single Family Residential","18 Arliss St",1109,309900,3,2,"Sixteen Acres",1484,5001,2005,4,,"Active",42.1152618,-72.5294459
72943373,"Single Family Residential","65 Beaufort Cir",1104,149900,3,1,"Springfield",1248,8089,1947,4,,"Active",42.1481586,-72.559602
72943312,"Single Family Residential","87 Melville St",1104,229900,3,1.5,"East Springfield",1190,3999,1927,4,,"Active",42.1297989,-72.5694445
72943305,"Mobile/Manufactured Home","70 Shumway",1109,85000,2,1,"Springfield",,,,4,245,"Active",42.1375047,-72.5096322
72943282,"Multi-Family (5+ Unit)","105-111 School",1105,1648000,42,24,"Springfield",18000,27042,1928,4,,"Active",42.1029115,-72.5796561
72943117,"Single Family Residential","55 Gatewood",1119,269000,3,1.5,"Springfield",1400,7501,1955,4,,"Active",42.1200014,-72.5235171
72943102,"Single Family Residential","72 Pheland St",1109,239900,4,1,"Off of Boston Rd close to the Balliet School",1100,5249,1943,4,,"Active",42.1270962,-72.5289171
72943024,"Multi-Family (2-4 Unit)","127-129 Draper St",1108,300000,6,2,"Springfield",2416,5001,1926,5,,"Active",42.0796269,-72.5505067
72943022,"Single Family Residential","17 Washington Rd",1108,338900,5,2.5,"Forest Park",3707,7906,1896,5,,"Active",42.0832964,-72.5695898
72943019,"Single Family Residential","36 Barry Wills Pl",1118,324500,4,2,"East Forest Park",1669,34983,1942,5,,"Active",42.0963796,-72.5328916
72942961,"Multi-Family (2-4 Unit)","68-70 Cortland St",1109,260000,6,2,"Hill McKnight",2188,6312,1919,5,,"Active",42.116521,-72.5551222
72942945,"Multi-Family (5+ Unit)","47 White",1108,899000,16,8,"Springfield",8060,2788,1904,5,,"Active",42.0957616,-72.5601104
72942810,"Multi-Family (2-4 Unit)","53 Clantoy St",1104,299000,5,2,"Springfield",2476,5001,1917,5,,"Contingent",42.1217692,-72.5818741
72942803,"Condo/Co-op","38 Yorktown Dr Unit 38A",1108,289900,3,2,"Forest Park",1258,,1968,5,476,"Active",42.0683632,-72.5538052
72942704,"Single Family Residential","945 Allen St",1118,299900,4,1.5,"Conveniently Located in East Forest Park",1837,6508,1931,5,,"Active",42.0913109,-72.5296054
72942581,"Multi-Family (2-4 Unit)","62-64 Rifle St",1105,239999,4,2,"Springfield",1620,4208,1989,6,,"Active",42.0948777,-72.5656371
72942492,"Single Family Residential","86 Mayfield St",1108,275000,3,1.5,"Forest Park",1880,12602,1954,,,"Active",42.0740038,-72.541857
72942218,"Single Family Residential","160 Laurelton St",1109,220000,3,1,"Springfield",1296,5001,1954,8,,"Contingent",42.1224202,-72.5313665
72942171,"Single Family Residential","146 Temby St",1119,230000,3,1.5,"Springfield",1603,5001,1941,9,,"Contingent",42.1433636,-72.5071952
72942047,"Single Family Residential","57 Fresno St",1104,250000,3,1,"Springfield",1434,4848,1929,9,,"Contingent",42.1382986,-72.5593248
72941949,"Condo/Co-op","101 Mulberry St #509",1105,81500,2,1,"South End Central",840,,1955,9,423,"Contingent",42.1026485,-72.5769531
72941891,"Single Family Residential","39 Ramblewood Dr",1118,265000,3,1.5,"Springfield",1008,10498,1986,10,,"Contingent",42.0925608,-72.5037287
72941696,"Single Family Residential","45 Loring St",1105,49900,4,2.5,"Springfield",1519,3960,1912,10,,"Active",42.0951171,-72.5831216
72941509,"Single Family Residential","63 Eckington St",1108,249500,4,1.5,"East Forest Park",1666,6290,1930,10,,"Active",42.0869311,-72.5441676
72941489,"Multi-Family (5+ Unit)","345-347 Bay St",1109,559000,10,6,"Springfield",7736,"aa",1895,10,,"Active",42.1175899,-72.565377
72941461,"Single Family Residential","64 Littleton St",1104,199922,4,1.5,"East Springfield",1474,4800,1915,10,,"Contingent",42.1244392,-72.5804879
72941331,"Single Family Residential","22 FELICIA St",1104,269900,3,1.5,"Springfield",1538,9627,1948,11,,"Contingent",42.139512,-72.5726675
72941335,"Single Family Residential","11 Superior Ave",1151,439900,4,2.5,"Courtside",2000,2000,2021,11,,"Active",42.1470118,-72.5192835
72941306,"Single Family Residential","27 Thorndyke St",1118,219000,4,1.5,"Springfield",1576,5001,1914,11,,"Contingent",42.0884476,-72.5413949
72941263,"Multi-Family (2-4 Unit)","73-75 Watling St",1104,275000,4,2,"East Springfield",1560,7501,1970,11,,"Contingent",42.1489367,-72.5415797
72941020,"Single Family Residential","83 Huron St",1104,199900,4,2,"Springfield",1305,5249,1924,11,,"Active",42.1292345,-72.588158
72941017,"Single Family Residential","111 Drexel St",1104,220000,3,1,"Springfield",936,12196,1954,11,,"Contingent",42.1277294,-72.5730134
72940959,"Multi-Family (2-4 Unit)","58-60 Davenport St",1119,259000,4,2,"Springfield",1728,3202,1960,11,,"Contingent",42.1397955,-72.5218328
72940856,"Multi-Family (2-4 Unit)","99 Acushnet Ave",1105,269000,5,2.5,"Springfield",2898,5001,1900,12,,"Contingent",42.093304,-72.5767914
72940836,"Single Family Residential","148 Monrovia",1104,204900,3,1,"Springfield",1720,5001,1930,12,,"Active",42.1367785,-72.5603876
72940810,"Single Family Residential","18 Crown St",1108,229000,4,1.5,"Forest Park",1721,5123,1922,12,,"Active",42.0921911,-72.554483
72940802,"Single Family Residential","117 Cloran St",1109,229000,4,1,"Pine Point Boston Road",1042,5001,1948,12,,"Active",42.130982,-72.5441676
72940743,"Single Family Residential","983 Carew St",1104,204999,3,2,"Springfield",1078,4438,1915,12,,"Active",42.1291878,-72.5787321
72940739,"Single Family Residential","59 Fairfield St",1108,294900,5,2.5,"Springfield",2490,"aa",1904,12,,"Contingent",42.0867845,-72.5672265
72940313,"Single Family Residential","140 Abbe Ave",1107,204900,4,1,"North End Brightwood",1410,4269,1905,13,,"Active",42.1204945,-72.6148743
72940307,"Single Family Residential","58 Colorado St",1118,279900,2,1.5,"East Forest Park",1609,8050,1970,13,,"Contingent",42.0832853,-72.5261442
72940223,"Multi-Family (2-4 Unit)","172-174 Euclid Ave",1108,249900,8,2.5,"Springfield",3345,6016,1917,13,,"Active",42.091794,-72.5656209
72940186,"Single Family Residential","139 Maebeth St",1119,339900,4,2,"Springfield",2221,10158,1950,13,,"Contingent",42.1213489,-72.5123254
72940144,"Multi-Family (2-4 Unit)","18-20 Longfellow Ter",1108,330000,5,2,"Springfield",2606,5484,1916,14,,"Active",42.0856083,-72.5475574
72940112,"Single Family Residential","181 Laurelton St",1109,269900,3,2.5,"Pine Point/Boston Road",1380,8999,1950,14,,"Active",42.1218501,-72.5307773
72940024,"Condo/Co-op","101 Mulberry St #412",1105,60000,1,1,"South End Central",590,,1955,15,343,"Contingent",42.1026485,-72.5769531
72939948,"Multi-Family (2-4 Unit)","48-50 Dresden St",1109,329999,9,3,"Springfield",3484,7048,1912,16,,"Active",42.1134245,-72.5536743
72939929,"Single Family Residential","36 Emily St",1109,227900,3,1,"Springfield",1110,4190,1910,16,,"Active",42.1372935,-72.5320597
72939755,"Single Family Residential","34 Ina St",1109,189900,2,2,"Upper Hill",1228,5001,1922,16,,"Active",42.1101202,-72.5446875
72939554,"Multi-Family (2-4 Unit)","735 Belmont Ave",1108,249900,6,3,"Forest Park",3056,7257,1912,17,,"Active",42.085127,-72.5510994
72939549,"Single Family Residential","214 King",1109,249900,5,2,"Springfield",1808,7309,1897,17,,"Active",42.1054902,-72.563576
72939474,"Single Family Residential","6 Bronson Ter",1108,349900,4,3.5,"Springfield",3267,9801,1928,17,,"Contingent",42.0788203,-72.5544265
72939353,"Single Family Residential","40 Lamont St",1119,279900,3,1.5,"Pine Point Boston Road",1220,5001,1988,17,,"Active",42.1301418,-72.5260801
72939234,"Single Family Residential","111 Wilber St",1104,239900,4,2,"Springfield",1413,4051,1926,18,,"Contingent",42.1248499,-72.5783162
72939233,"Single Family Residential","17 Garibaldi St",1119,244900,4,2,"Springfield",1303,4617,1924,18,,"Contingent",42.1401231,-72.5190269
72939085,"Single Family Residential","104 Bowdoin St",1109,435900,7,4.5,"McKnight",3334,14250,1870,18,,"Active",42.1137362,-72.5762832
72939062,"Single Family Residential","75 Prouty St",1119,299900,4,2.5,"Springfield",1210,11748,1954,18,,"Contingent",42.1205669,-72.500944
72939030,"Single Family Residential","55 Gardens Dr",1119,239900,3,1,"Sixteen Acres",1052,7700,1956,18,,"Contingent",42.1234953,-72.4992454
72938960,"Single Family Residential","55 Lawndale St",1108,205000,2,1,"Forest Park",1169,9065,1921,18,,"Contingent",42.0836039,-72.5523933
72938848,"Single Family Residential","92 Wayne St",1118,249900,3,1.5,"Springfield",1881,5502,1940,18,,"Contingent",42.0911999,-72.546524
72938445,"Single Family Residential","111 Bowles St",1109,259900,5,2,"Springfield",2016,5001,1899,19,,"Active",42.114754,-72.5655168
72938433,"Multi-Family (5+ Unit)","1193-1197 Worcester St",1151,750000,8,8,"Indian Orchard",11890,4299,1916,19,,"Active",42.1585847,-72.5045376
72938349,"Single Family Residential","86 Fieldston St",1119,120000,2,1,"Springfield",744,5001,1953,19,,"Active",42.1423356,-72.5046416
72938332,"Single Family Residential","37 Lexington St",1107,155000,3,1,"Springfield",1167,5567,1909,19,,"Contingent",42.1166749,-72.6011383
72938228,"Multi-Family (2-4 Unit)","82-84 Albemarle St",1109,290000,8,4,"Springfield",3379,5998,1912,20,,"Contingent",42.1099115,-72.5560097
72938212,"Multi-Family (2-4 Unit)","73 Cherrelyn St",1104,259900,6,2,"Springfield",2016,5001,1910,20,,"Contingent",42.1218811,-72.5806662
72938024,"Multi-Family (2-4 Unit)","67-69 Penacook St",1104,265000,6,2,"Springfield",2446,5258,1916,20,,"Contingent",42.1263412,-72.5866677
72937984,"Single Family Residential","396 Allen St",1118,209500,2,1,"East Forest Park",1116,5354,1950,20,,"Active",42.0927921,-72.5493314
72937339,"Multi-Family (2-4 Unit)","38-40 Washington St",1108,285000,6,3,"Springfield",2660,6852,1923,22,,"Active",42.0826093,-72.5533894
72937638,"Single Family Residential","44 Bruce St",1119,194999,3,1,"Boston Road",1200,10001,1965,23,,"Active",42.1348136,-72.5030817
72937621,"Condo/Co-op","72 Temple St #2",1105,135000,1,1,"Springfield",795,,1890,23,170,"Active",42.1036442,-72.5820492
72937578,"Multi-Family (2-4 Unit)","101-103 Draper St",1108,269900,8,3,"Springfield",1849,5001,1924,24,,"Contingent",42.0801759,-72.5510589
72937561,"Multi-Family (2-4 Unit)","40-42 Albermarle",1109,249900,8,2,"Hill McKnight",3106,5998,1913,24,,"Active",42.1110547,-72.5562066
72937519,"Single Family Residential","26 Paramount St",1104,299900,3,1.5,"Springfield",1544,5001,2006,24,,"Active",42.1497295,-72.5351561
72937289,"Vacant Land","0 PARAMOUNT",1104,27500,,,"Springfield",,,,25,,"Active",42.1044123,-72.5939357
72937204,"Vacant Land","0 Marine St",1101,100000,,,"Sixteen Acres",,42688,,25,,"Active",42.122163,-72.489393
72937075,"Single Family Residential","30 Craig St",1108,249900,3,1.5,"Springfield",1307,5001,1925,25,,"Active",42.0748831,-72.5491585
72936938,"Single Family Residential","29 Rhinebeck Ave",1129,299500,3,1,"Springfield",1700,12872,1930,25,,"Contingent",42.1165041,-72.4831141
73043305,"Mobile/Manufactured Home","70 Random Way",1109,85000,2,1,"Springfield",,,,26,245,"Active",42.1375047,-72.5096322
72936571,"Single Family Residential","49 Andrew St",1109,209900,3,1,"Springfield",1103,4417,1913,27,,"Active",42.1138387,-72.5618779
72936526,"Single Family Residential","174 Sawmill Rd",1118,245000,3,1,"Sixteen Acres",936,10981,1958,27,,"Active",42.0955857,-72.5235099
72936504,"Vacant Land","0 Parker St",1101,250000,,,"Springfield",,20173,,27,,"Active",42.1072639,-72.497849
72936332,"Single Family Residential","54 Ionia St",1109,229900,3,1,"Springfield",1205,5227,1919,27,,"Active",42.1221698,-72.5464679
72936307,"Single Family Residential","155 W Canton Cir",1104,199900,3,1,"Springfield",942,9448,1961,28,,"Contingent",42.1436788,-72.5695369
72936299,"Single Family Residential","170 Plumtree Rd",1118,299854,2,1.5,"Springfield",1300,4800,1930,28,,"Active",42.0954775,-72.5410252
72936202,"Single Family Residential","138 Avery St",1119,230000,3,1,"Sixteen Acres",1400,5001,1989,29,,"Contingent",42.1410745,-72.5176866
